aX,aY,aZ
-0.042,0.087,1.016
-0.047,0.091,1.02
-0.054,0.093,1.021
-0.054,0.099,1.029
-0.059,0.101,1.037
-0.055,0.105,1.037
-0.05,0.108,1.042
-0.04,0.123,1.043
-0.034,0.128,1.04
-0.025,0.135,1.037
-0.023,0.134,1.033
-0.015,0.129,1.033
-0.013,0,1.03
-0.016,0.123,1.026
-0.227,0.515,1.351
-0.264,0.668,1.407
-0.303,0.748,1.433
-0.325,0.943,1.474
-0.384,1.064,1.514
-0.46,1.334,1.524
-0.495,1.471,1.516
-0.556,1.794,1.501
-0.582,2.222,1.47
-0.752,2.347,1.417
-0.86,2.656,1.21
-0.99,2.751,1.082
-1.015,2.875,0.785
-0.98,2.884,0.42
-0.865,2.914,0.156
-0.776,2.923,-0.311
-0.625,2.835,-0.558
-0.552,2.77,-1.032
-0.388,2.536,-1.274
-0.292,2.149,-1.597
-0.07,1.954,-1.792
0.215,1.593,-2.18
0.367,1.395,-2.53
0.533,1.008,-2.739
0.565,0.644,-3.017
0.765,-0.646,-2.773
0.91,-1.984,-1.508
1.173,-2.4,-0.912
0.998,-3.728,0.543
0.956,-4.415,1.836
0.891,-4.59,3.224
0.323,-4.262,3.955
-0.021,-3.926,5.289
-0.656,-2.899,5.818
-0.808,-1.683,6.755
-0.806,-1.386,6.862
-0.377,-1.013,6.752
-0.203,-1.029,6.35
-0.04,-0.986,6.131
-0.02,-0.874,5.353
-0.012,-0.833,4.881
-0.018,-0.703,4.061
0.085,-0.81,3.197
0.408,-1.15,2.489
0.59,-1.189,1.421
0.835,-0.81,1.007
0.898,-0.816,0.201
1.058,-0.949,-0.317
1.136,-0.832,-1.037
1.104,-0.543,-1.025
0.98,-0.198,-1.033
0.955,-0.093,-0.975
0.984,0.133,-0.863
1.018,0.359,-0.559
1.019,0.442,-0.416
0.99,0.505,-0.143
0.906,0.492,0.006
0.879,0.44,0.289
0.83,0.412,0.399
0.811,0.376,0.563
0.798,0.362,0.739
0.799,0.328,0.672
0.796,0.303,0.698
0.785,0.252,0.705
0.767,0.218,0.72
0.709,0.162,0.713
0.671,0.135,0.706
0.597,0.06,0.717
0.558,0.019,0.755
0.473,-0.054,0.787
0.424,-0.077,0.858
0.346,-0.093,0.888
0.318,-0.077,0.924
0.275,-0.072,0.931
0.253,-0.077,0.947
0.242,-0.076,0.961
0.222,-0.076,0.963
0.21,-0.081,0.961
0.193,-0.099,0.962
0.186,-0.107,0.974
0.182,-0.113,0.98
0.182,-0.108,0.993
0.169,-0.108,1.002
0.163,-0.108,1.03
0.147,-0.108,1.069
0.13,-0.108,1.089
0.126,-0.103,1.127
0.116,-0.088,1.14
0.114,-0.081,1.166
0.096,-0.065,1.173
0.088,-0.044,1.174
0.077,-0.033,1.158
0.092,-0.017,1.146
0.097,0.003,1.093
0.104,0.033,1.067
0.108,0.044,1.026
0.119,0.069,1.011
0.123,0.079,0.977
0.141,0.091,0.967
0.149,0.097,0.962
0.162,0.11,0.969
0.159,0.126,0.968
0.178,0.127,0.999
0.177,0.125,1.023
0.148,0.126,1.037
0.131,0.139,1.047
0.111,0.136,1.053
0.115,0.11,1.076
0.11,0.084,1.087
0.096,0.07,1.099
0.109,0.074,1.092
0.109,0.05,1.103
0.09,0.049,1.106
0.066,0.052,1.086
0.026,0.059,1.076
0.016,0.053,1.063
0.002,0.041,1.066
0.007,0.037,1.066
0.018,0.035,1.073
-0.314,0.735,0.973
-0.376,0.866,0.946
-0.408,1.003,0.891
-0.486,1.09,0.858
-0.502,1.293,0.771
-0.586,1.389,0.732
-0.641,1.653,0.62
-0.668,1.904,0.484
-0.71,2.027,0.348
-0.734,2.27,0.278
-0.741,2.404,0.149
-0.74,2.694,0.077
-0.72,2.812,-0.095
-0.615,3.047,-0.168
-0.55,3.172,-0.479
-0.392,3.209,-0.658
-0.001,3.131,-0.937
0.088,3.056,-1.169
0.386,2.826,-1.279
0.536,2.65,-1.423
0.847,2.138,-1.463
0.979,1.821,-1.493
1.227,1.101,-1.475
1.323,0.209,-1.294
1.43,-0.322,-1.048
1.421,-1.525,-0.237
1.318,-2.104,0.77
1.134,-3.054,1.391
1.003,-3.335,2.836
0.611,-3.444,3.602
0.318,-2.904,4.925
-0.215,-2.733,5.396
-0.526,-2.629,5.658
-1.127,-2.305,5.778
-1.252,-2.347,5.808
-1.004,-2.524,6.013
-0.587,-1.994,5.594
-0.583,-2.374,4.548
-0.449,-2.436,4.4
-0.386,-2.201,4.053
-0.428,-2.122,3.207
-0.401,-2.092,2.416
-0.203,-1.881,1.99
-0.075,-1.649,1.108
0.225,-1.621,0.711
0.338,-1.43,0.047
0.522,-1.306,-0.285
0.646,-1.03,-0.365
0.693,-0.881,-0.378
0.741,-0.574,-0.347
0.773,-0.27,-0.271
0.889,-0.128,-0.235
1.08,0.128,-0.145
1.038,0.2,-0.03
1.072,0.278,0.034
1.068,0.305,0.179
1.044,0.321,0.259
1.017,0.307,0.414
0.983,0.247,0.495
0.964,0.221,0.659
0.885,0.163,0.732
0.846,0.142,0.868
0.793,0.169,0.92
0.773,0.209,0.963
0.721,0.241,0.963
0.707,0.272,0.94
0.661,0.27,0.915
0.64,0.26,0.844
0.577,0.251,0.795
0.539,0.211,0.679
0.473,0.183,0.624
0.448,0.114,0.546
0.394,0.081,0.522
0.363,0.034,0.498
0.295,0.024,0.489
0.262,0.017,0.505
0.203,0.016,0.524
0.184,0.009,0.589
0.159,0.005,0.638
0.143,0.005,0.761
0.111,0.003,0.826
0.099,0.003,0.946
0.08,0.007,1.003
0.078,0.005,1.102
0.057,0.002,1.179
0.031,-0.014,1.225
0.014,-0.018,1.312
-0.005,-0.012,1.345
-0.004,0.122,1.384
0,0.024,1.403
0.003,0.05,1.425
0.017,0.061,1.435
0.026,0.076,1.443
0.041,0.081,1.435
0.046,0.088,1.414
0.058,0.096,1.401
0.062,0.115,1.355
0.062,0.122,1.323
0.056,0.124,1.257
0.044,0.124,1.22
0.038,0.117,1.142
0.034,0.105,1.105
0.029,0.097,1.032
0.028,0.089,0.966
0.032,0.072,0.943
0.04,0.067,0.917
0.046,0.074,0.9
0.052,0.074,0.882
0.06,0.079,0.867
0.062,0.078,0.851
0.064,0.072,0.85
0.068,0.072,0.863
0.076,0.04,0.886
0.079,0.011,0.946
0.072,-0.002,0.976
0.067,-0.026,1.05
0.053,-0.03,1.086
0.047,-0.029,1.151
0.045,-0.02,1.198
-0.115,0.78,1.233
-0.135,1.019,1.254
-0.156,1.265,1.28
-0.207,1.387,1.301
-0.235,1.605,1.332
-0.284,1.721,1.361
-0.312,1.962,1.403
-0.357,2.094,1.341
-0.394,2.383,1.307
-0.394,2.541,1.155
-0.388,2.75,1.044
-0.35,2.809,0.743
-0.202,2.786,0.554
-0.128,2.584,0.215
0.073,2.546,0.064
0.18,2.435,-0.24
0.407,2.383,-0.373
0.522,2.394,-0.677
0.631,2.336,-0.865
0.762,2.246,-1.129
0.854,2.294,-1.627
1.096,1.935,-1.688
1.107,1.659,-1.671
1.169,0.918,-1.435
1.118,0.177,-0.925
0.968,-0.289,-0.634
0.885,-1.404,0.013
0.565,-2.036,0.84
0.182,-3.101,1.36
-0.046,-3.408,2.565
-0.632,-3.63,3.103
-0.981,-3.585,3.896
-1.568,-3.486,4.165
-1.852,-3.23,4.4
-1.791,-3.057,4.392
-1.472,-2.585,4.295
-1.221,-2.25,3.975
-0.635,-2.16,3.857
-0.353,-1.91,3.664
0.04,-1.713,3.422
0.202,-1.274,3.183
0.261,-1.042,2.749
0.341,-0.769,2.217
0.404,-0.719,1.451
0.805,-0.687,1.095
0.986,-0.652,0.493
0.997,-0.724,0.227
0.661,-0.665,-0.387
0.64,-0.535,-0.395
0.684,-0.496,-0.329
0.731,-0.388,-0.248
0.749,-0.22,-0.061
0.744,-0.138,0.075
0.721,-0.007,0.122
0.717,0.046,0.195
0.718,0.102,0.232
0.728,0.112,0.334
0.765,0.129,0.38
0.776,0.138,0.447
0.753,0.134,0.468
0.723,0.155,0.492
0.637,0.171,0.498
0.583,0.195,0.492
0.462,0.168,0.482
0.398,0.116,0.465
0.293,0.079,0.47
0.256,-0.019,0.524
0.156,-0.065,0.613
0.047,-0.185,0.659
0.016,-0.2,0.771
-0.035,-0.184,0.801
-0.054,-0.201,0.896
-0.072,-0.208,1.085
-0.06,-0.192,1.158
-0.074,-0.17,1.288
-0.077,-0.08,1.311
-0.096,-0.078,1.31
-0.049,-0.068,1.336
-0.008,-0.043,1.383
0.067,-0.02,1.421
0.092,0.036,1.432
0.108,0.07,1.457
0.122,0.096,1.439
0.12,0.097,1.395
0.101,0.113,1.374
0.096,0.248,1.311
0.086,0.121,1.271
0.081,0.109,1.206
0.082,0.084,1.178
0.078,0.084,1.132
0.063,0.087,1.108
0.055,0.096,1.06
0.041,0.098,1.041
0.039,0.092,1.023
0.041,0.089,1.03
0.039,0.094,1.067
0.017,0.08,1.091
0.006,0.046,1.131
-0.015,0.043,1.154
-0.028,0.036,1.185
-0.036,0.034,1.21
-0.036,0.028,1.228
-0.036,0.043,1.25
-0.019,0.008,1.246
-0.012,0.016,1.236
0.005,0.044,1.22
0.003,0.07,1.167
0.005,0.068,1.146
0.01,0.055,1.103
0.028,0.053,1.091
0.038,0.038,1.065
0.047,0.036,1.058
0.047,0.02,1.039
0.05,0.02,1.026
0.043,0.029,1.015
0.039,0.028,0.993
0.037,0.027,0.982
0.036,0.038,0.959
0.036,0.043,0.948
-0.081,1.101,1.121
-0.11,1.289,1.176
-0.165,1.724,1.21
-0.193,1.959,1.305
-0.249,2.526,1.335
-0.263,3.264,1.399
-0.255,3.693,1.398
-0.229,4.419,1.352
-0.131,4.562,0.992
-0.096,4.65,0.77
0.014,4.643,0.343
0.486,4.312,0.19
0.621,3.921,-0.34
0.633,3.416,-0.7
0.636,2.971,-1.144
0.678,2.753,-1.433
0.642,2.046,-1.963
0.667,1.667,-2.282
0.723,1.067,-2.439
0.744,0.562,-2.476
0.709,-0.384,-2.35
0.715,-1.762,-1.519
0.782,-2.716,-0.718
1.185,-5.058,1.467
0.975,-6.052,3.723
-0.439,-6.341,4.786
-1.064,-5.032,6.815
-2.063,-4.179,7.654
-2.849,-2.875,7.449
-2.924,-2.237,6.669
-2.059,-2.128,6.316
-0.739,-2.066,5.636
-0.312,-1.996,4.543
-0.101,-1.661,4
-0.02,-1.488,2.994
0.115,-1.598,2.471
0.271,-1.49,1.387
0.557,-1.415,0.227
0.744,-1.181,-0.229
0.798,-1.074,-0.8
0.845,-0.761,-0.941
0.837,-0.232,-0.946
0.821,-0.008,-0.77
0.818,0.219,-0.673
0.813,0.318,-0.537
0.817,0.356,-0.488
0.806,0.37,-0.424
0.807,0.35,-0.4
0.812,0.272,-0.354
0.829,0.236,-0.251
0.826,0.187,-0.173
0.819,0.197,0.043
0.788,0.209,0.166
0.762,0.26,0.399
0.682,0.286,0.504
0.641,0.268,0.709
0.559,0.227,0.801
0.518,0.106,0.943
0.423,0.039,1.119
0.251,-0.095,1.058
0.285,-0.15,1.111
0.202,-0.213,1.142
0.172,-0.222,1.201
0.137,-0.211,1.222
0.128,-0.195,1.243
0.112,-0.161,1.237
0.104,-0.127,1.192
0.102,-0.121,1.17
0.102,-0.11,1.135
0.098,-0.1,1.119
0.09,-0.072,1.094
0.084,-0.063,1.07
0.094,-0.061,1.066
0.102,-0.064,1.057
0.11,-0.065,1.049
0.111,-0.06,1.024
0.115,-0.059,1.003
0.115,-0.075,0.97
0.11,-0.081,0.962
0.103,-0.092,0.957
0.081,-0.093,0.957
0.072,-0.091,0.976
0.06,-0.088,1.112
0.055,-0.081,1.009
0.051,-0.073,1.013
0.052,-0.051,1.008
0.054,-0.035,0.98
0.06,-0.031,0.959
0.068,-0.045,0.931
0.082,-0.053,0.922
0.091,-0.048,0.919
0.096,-0.041,0.932
0.11,-0.036,0.941
0.117,-0.048,0.971
0.125,-0.067,0.996
0.13,-0.087,1.054
0.143,-0.119,1.087
0.145,-0.173,1.176
0.137,-0.189,1.277
0.133,-0.176,1.316
0.142,-0.148,1.384
0.172,-0.082,1.408
0.183,-0.051,1.427
0.204,-0.008,1.431
0.216,0,1.426
0.225,-0.007,1.417
0.226,-0.027,1.391
0.231,-0.039,1.371
0.231,-0.067,1.318
0.225,-0.074,1.291
0.215,-0.079,1.224
0.21,-0.074,1.155
0.201,-0.041,1.122
0.2,-0.003,1.056
0.186,0.006,1.022
0.183,-0.001,0.97
0.182,-0.01,0.955
0.183,-0.027,0.934
0.173,-0.032,0.925
-0.734,0.172,1.281
-0.027,-0.466,1.209
-0.186,0.193,0.987
-0.159,0.253,1.095
-0.22,0.258,1.08
-0.287,0.269,1.003
-0.325,0.265,1.017
-0.325,0.257,1.032
-0.328,0.24,1.081
-0.308,0.222,1.089
-0.3,0.209,1.088
-0.302,0.208,1.069
-0.33,0.224,1.035
-0.325,0.193,1.004
-0.296,0.147,0.961
-0.283,0.151,0.937
-0.33,0.191,0.948
-0.323,0.154,0.959
-0.288,0.131,0.946
-0.277,0.117,0.954
-0.302,0.112,0.965
-0.314,0.118,0.98
-0.301,0.102,0.976
-0.316,0.109,0.979
-0.308,0.101,0.973
-0.294,0.115,0.969
-0.283,0.12,0.962
-0.274,0.124,0.962
-0.277,0.128,0.962
-0.276,0.122,0.958
-0.28,0.115,0.963
-0.284,0.119,0.967
-0.286,0.131,0.968
-0.287,0.138,0.977
-0.269,0.153,0.976
-0.263,0.166,0.984
-0.252,0.177,0.986
-0.253,0.181,0.996
-0.251,0.183,1.001
-0.243,0.182,1.004
-0.251,0.185,1.017
-0.275,0.173,1.022
-0.27,0.154,1.011
-0.256,0.142,1.011
-0.258,0.138,1.011
-0.266,0.121,1.006
-0.263,0.113,0.974
-0.241,0.129,0.964
-0.257,0.147,0.951
-0.261,0.162,0.95
-0.225,0.158,0.951
-0.213,0.154,0.962
-0.203,0.15,0.966
-0.212,0.167,0.969
-0.213,0.188,0.976
-0.199,0.2,0.975
-0.203,0.15,0.943
-0.228,0.178,0.98
-0.22,0.184,1.012
-0.23,0.18,1.011
-0.243,0.156,0.995
-0.25,0.104,0.995
-0.251,0.112,1.012
-0.244,0.116,1.013
-0.26,0.137,1.011
-0.256,0.144,1.014
-0.218,0.158,1.022
-0.213,0.157,1.02
-0.235,0.103,1.008
-0.254,0.074,0.982
-0.252,0.118,0.976
-0.237,0.133,0.992
-0.236,0.133,0.988
-0.232,0.149,0.992
-0.23,0.157,0.996
-0.229,0.152,0.994
-0.231,0.158,0.993
-0.226,0.158,0.992
-0.225,0.142,0.997
-0.231,0.137,0.992
-0.234,0.125,0.992
-0.233,0.131,1.001
-0.214,0.16,1.013
-0.204,0.18,1.037
-0.188,0.174,1.043
-0.196,0.134,1.037
-0.225,0.099,1.003
-0.236,0.075,1.008
-0.225,0.086,1.042
-0.187,0.136,1.075
-0.171,0.119,1.077
-0.219,0.08,1.057
-0.223,0.073,1.05
-0.26,0.039,0.977
-0.292,0.038,0.923
-0.289,0.066,0.947
-0.247,0.141,0.973
-0.24,0.15,0.993
-0.238,0.114,1.003
-0.228,0.117,1.04
-0.206,0.136,1.05
-0.218,0.141,1.015
-0.201,0.213,1.024
-0.193,0.232,0.99
-0.179,0.219,0.967
-0.178,0.206,0.894
-0.178,0.224,0.91
-0.166,0.254,0.951
-0.177,0.285,0.804
-0.151,0.278,0.767
-0.144,0.283,0.771
-0.11,0.28,0.77
-0.089,0.241,0.747
-0.128,0.25,0.7
-0.135,0.273,0.705
-0.062,0.223,0.298
-0.777,-1.492,0.453
0.077,0.894,1.196
-0.178,0.049,0.968
