aX,aY,aZ
-0.327,1.356,1.358
-0.413,1.537,1.311
-0.452,1.669,1.199
-0.519,1.728,1.139
-0.538,1.857,0.948
-0.501,1.883,0.824
-0.468,1.913,0.591
-0.325,1.923,0.357
-0.1,1.862,0.261
0.023,1.831,0.02
0.302,1.704,-0.138
0.427,1.614,-0.445
0.661,1.401,-0.584
0.774,1.29,-0.813
0.968,1.2,-0.88
1.042,0.995,-0.9
1.085,0.882,-0.865
1.056,0.598,-0.662
0.955,0.392,-0.44
0.805,-0.249,-0.292
0.603,-0.654,0.215
0.182,-1.503,0.581
0.01,-2.16,1.44
-0.29,-2.385,1.898
-0.385,-2.402,2.673
-0.431,-2.333,3.069
-0.349,-2.089,3.19
-0.293,-1.849,3.431
-0.126,-1.68,3.546
0.081,-1.679,3.453
0.134,-1.544,3.304
0.14,-1.296,3.206
0.042,-1.363,2.99
-0.144,-1.397,2.964
-0.302,-1.657,2.901
-0.517,-1.53,2.843
-0.703,-1.672,2.798
-0.733,-1.717,2.546
-0.714,-1.606,2.38
-0.661,-1.375,1.975
-0.502,-1.259,1.498
-0.34,-1.012,1.253
-0.244,-0.914,0.754
-0.018,-0.698,0.512
0.063,-0.49,0.104
0.238,-0.376,-0.084
0.307,-0.249,-0.154
0.389,-0.152,-0.239
0.49,-0.007,-0.203
0.514,0.046,-0.041
0.484,0.016,0.068
0.436,-0.041,0.317
0.406,-0.022,0.441
0.4,0.009,0.651
0.405,0.005,0.801
0.417,-0.009,0.855
0.431,-0.003,0.931
0.473,0.033,0.95
0.489,0.049,0.945
0.506,0.059,0.931
0.509,0.065,0.89
0.51,0.081,0.862
0.507,0.09,0.804
0.49,0.095,0.782
0.476,0.089,0.755
0.433,0.063,0.753
0.409,0.049,0.775
0.367,0.019,0.797
0.345,-0.015,0.854
0.286,-0.031,0.884
0.258,-0.061,0.941
0.218,-0.08,0.975
0.204,-0.112,1.04
0.176,-0.129,1.086
0.135,-0.159,1.108
0.122,-0.169,1.146
0.088,-0.18,1.154
0.072,-0.182,1.159
0.042,-0.184,1.143
0.033,-0.198,1.159
0.019,-0.2,1.159
0.014,-0.206,1.161
0.002,-0.21,1.157
-0.012,-0.212,1.153
-0.017,-0.208,1.149
-0.028,-0.198,1.132
-0.032,-0.183,1.104
-0.027,-0.171,1.098
-0.019,-0.145,1.081
-0.015,-0.136,1.073
-0.003,-0.117,1.071
0.008,-0.109,1.08
0.034,-0.099,1.087
0.041,-0.098,1.093
0.056,-0.086,1.103
0.073,-0.078,1.133
0.087,-0.068,1.169
0.106,-0.025,1.186
0.117,-0.01,1.223
0.138,-0.015,1.239
0.148,0.003,1.262
0.153,0.052,1.281
0.15,0.036,1.282
0.172,0.008,1.277
0.18,0.034,1.264
0.163,0.062,1.248
0.142,0.057,1.184
0.107,0.043,1.153
0.096,0.02,1.11
0.089,0.014,1.09
0.091,0,1.049
0.098,-0.007,1.031
0.102,-0.025,0.992
-0.292,0.688,1.148
-0.311,0.846,1.164
-0.358,0.928,1.175
-0.385,1.105,1.192
-0.435,1.203,1.2
-0.504,1.421,1.213
-0.534,1.533,1.233
-0.586,1.758,1.254
-0.623,1.879,1.185
-0.681,2.078,1.126
-0.709,2.374,1.09
-0.79,2.547,1.023
-0.798,2.758,0.928
-0.76,2.867,0.854
-0.702,2.941,0.587
-0.458,2.932,0.272
-0.092,2.783,0.114
0.107,2.677,-0.195
0.467,2.448,-0.342
0.623,2.346,-0.585
0.956,2.107,-0.696
1.071,1.652,-0.864
1.238,1.453,-0.898
1.267,0.859,-0.922
1.273,0.556,-0.851
1.251,-0.096,-0.498
1.258,-0.503,0.073
1.227,-1.337,0.405
1.22,-1.634,1.168
1.163,-2.026,1.553
1.03,-2.081,2.159
0.653,-2.118,2.386
0.31,-2.603,2.196
0.033,-2.649,2.504
-0.23,-3.124,2.898
-0.335,-3.36,3.479
-0.714,-3.73,3.75
-0.931,-3.979,4.197
-1.169,-3.879,4.379
-1.174,-3.684,4.6
-1.126,-3.461,4.509
-0.971,-2.865,4.342
-0.875,-2.314,3.865
-0.598,-2.029,3.6
-0.156,-1.603,3.003
-0.071,-1.414,2.341
0.253,-1.096,1.986
0.383,-0.97,1.241
0.607,-0.788,0.87
0.691,-0.582,0.222
0.794,-0.475,-0.066
0.81,-0.308,-0.549
0.792,-0.201,-0.724
0.749,-0.034,-0.918
0.745,0.053,-0.918
0.729,0.164,-0.867
0.723,0.206,-0.677
0.723,0.199,-0.55
0.722,0.165,-0.272
0.712,0.157,-0.138
0.707,0.173,0.103
0.696,0.176,0.314
0.69,0.16,0.412
0.686,0.15,0.587
0.686,0.13,0.658
0.69,0.132,0.778
0.702,0.163,0.813
0.701,0.172,0.845
0.674,0.173,0.851
0.654,0.176,0.837
0.607,0.161,0.834
0.583,0.143,0.832
0.529,0.078,0.837
0.501,0.044,0.865
0.441,-0.031,0.885
0.413,-0.063,0.923
0.351,-0.119,0.939
0.317,-0.19,0.979
0.246,-0.216,1.005
0.215,-0.253,1.067
0.161,-0.268,1.093
0.137,-0.302,1.143
0.089,-0.313,1.162
0.057,-0.32,1.187
0.039,-0.325,1.193
0.016,-0.329,1.189
0.01,-0.333,1.181
0.001,-0.333,1.177
0.001,-0.33,1.162
0.001,-0.325,1.152
0.003,-0.319,1.128
0.017,-0.313,1.11
0.027,-0.292,1.089
0.062,-0.278,1.078
0.1,-0.263,1.074
0.125,-0.244,1.088
0.177,-0.209,1.092
0.186,-0.201,1.065
0.213,-0.164,1.067
0.234,-0.129,1.073
0.27,-0.11,1.08
0.291,-0.072,1.145
0.298,-0.054,1.149
0.261,-0.016,1.131
0.234,-0.005,1.116
0.202,-0.008,1.115
0.194,-0.02,1.116
0.192,-0.057,1.117
0.191,-0.083,1.113
0.181,-0.098,1.109
0.181,-0.11,1.109
0.175,-0.123,1.102
0.155,-0.144,1.094
0.154,-0.146,1.093
0.15,-0.149,1.087
0.146,-0.156,1.079
0.131,-0.196,1.078
0.118,-0.221,1.089
0.104,-0.243,1.099
-0.147,0.528,1.338
-0.121,0.632,1.352
-0.109,0.78,1.363
-0.084,0.864,1.363
-0.081,1.057,1.35
