aX,aY,aZ
0.244,0.045,0.884
0.249,0.017,0.886
0.247,-0.024,0.894
0.24,-0.029,0.893
0.24,-0.011,0.888
0.231,0.003,0.889
0.228,0.028,0.887
0.221,0.042,0.882
0.217,0.068,0.874
0.214,0.075,0.875
0.208,0.096,0.872
0.203,0.1,0.865
0.202,0.11,0.854
0.195,0.11,0.848
0.193,0.109,0.832
0.184,0.113,0.832
0.163,0.157,0.875
0.157,0.193,1.061
0.16,0.209,1.081
0.128,0.18,1.163
0.156,0.1,1.2
0.208,0.078,1.242
0.296,0.046,1.251
0.33,0.039,1.24
0.397,0.035,1.224
0.413,0.029,1.173
0.41,0.021,1.149
0.401,0.02,1.119
0.379,0.039,1.109
0.366,0.053,1.079
0.318,0.052,1.093
0.291,0.08,1.057
0.283,0.112,1.014
0.28,0.123,1.025
0.292,0.137,0.998
0.26,0.109,0.979
0.239,0.142,1.001
0.249,0.163,1.013
0.247,0.148,0.967
0.238,0.179,0.961
0.253,0.203,0.966
0.238,0.199,0.959
0.22,0.201,0.939
0.201,0.227,0.941
0.196,0.248,0.936
0.177,0.242,0.928
0.156,0.203,0.937
0.13,0.195,0.954
0.134,0.153,0.978
0.138,0.146,0.98
0.145,0.15,0.999
0.163,0.168,1.013
0.169,0.182,1.022
0.167,0.189,1.027
0.164,0.195,1.032
0.15,0.192,1.034
0.146,0.184,1.039
0.139,0.162,1.037
0.139,0.145,1.028
0.122,0.103,1.019
0.116,0.095,1.018
0.148,0.096,1.033
0.167,0.106,1.057
0.208,0.13,1.058
0.216,0.136,1.046
0.206,0.136,1.047
0.195,0.127,1.061
0.177,0.116,1.067
0.167,0.083,1.071
0.168,0.063,1.076
0.171,0.035,1.091
0.172,0.031,1.1
0.17,0.035,1.124
0.161,0.047,1.139
0.154,0.086,1.134
0.138,0.105,1.127
0.135,0.149,1.124
0.135,0.175,1.119
0.138,0.206,1.116
0.142,0.217,1.125
0.137,0.23,1.137
0.122,0.242,1.139
0.114,0.253,1.141
0.105,0.261,1.148
0.103,0.275,1.166
0.105,0.283,1.175
0.111,0.288,1.197
0.126,0.293,1.207
0.135,0.3,1.227
0.15,0.296,1.239
0.158,0.295,1.258
0.155,0.287,1.257
0.15,0.268,1.259
0.15,0.265,1.26
0.161,0.273,1.261
0.454,0.39,1.301
0.43,0.421,1.359
0.428,0.405,1.449
0.41,0.26,1.463
0.417,0.203,1.423
0.437,0.093,1.377
0.437,0.035,1.256
