4/3/25 19:34:6, Microphone: 12, Temp =  77.68, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.35, GyroZ =  1.26, 
4/3/25 19:34:7, Microphone: -290, Temp =  77.71, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.49, GyroZ =  1.05, 
4/3/25 19:34:8, Microphone: -6, Temp =  77.75, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  1.05, 
4/3/25 19:34:10, Microphone: -127, Temp =  77.75, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.84, GyroZ =  1.19, 
4/3/25 19:34:11, Microphone: -223, Temp =  77.73, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.19, 
4/3/25 19:34:12, Microphone: -11, Temp =  77.72, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.98, GyroZ =  1.12, 
4/3/25 19:34:14, Microphone: -77, Temp =  77.72, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.35, GyroZ =  1.26, 
4/3/25 19:34:15, Microphone: -78, Temp =  77.70, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.42, GyroZ =  1.12, 
4/3/25 19:34:16, Microphone: -136, Temp =  77.72, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.63, GyroZ =  1.19, 
4/3/25 19:34:17, Microphone: 49, Temp =  77.75, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.35, GyroZ =  1.05, 
4/3/25 19:34:19, Microphone: 49, Temp =  77.82, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  0.00, GyroY =  0.84, GyroZ =  1.12, 
4/3/25 19:34:20, Microphone: 24, Temp =  77.79, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  1.33, 
4/3/25 19:34:21, Microphone: -14, Temp =  77.85, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.35, GyroZ =  1.05, 
4/3/25 19:34:23, Microphone: 7, Temp =  77.73, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.12, 
4/3/25 19:34:24, Microphone: -7, Temp =  77.70, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  0.00, GyroY =  0.56, GyroZ =  1.12, 
4/3/25 19:34:25, Microphone: -54, Temp =  77.72, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.12, 
4/3/25 19:34:26, Microphone: -35, Temp =  77.62, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.26, 
4/3/25 19:34:28, Microphone: -78, Temp =  77.65, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.05, 
4/3/25 19:34:29, Microphone: 108, Temp =  77.60, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.70, GyroZ =  1.05, 
4/3/25 19:34:30, Microphone: -14, Temp =  77.63, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  0.98, 
4/3/25 19:34:31, Microphone: -21, Temp =  77.68, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.84, GyroZ =  1.47, 
4/3/25 19:34:33, Microphone: 90, Temp =  77.57, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.91, GyroZ =  1.33, 
4/3/25 19:34:34, Microphone: 89, Temp =  77.62, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.56, GyroZ =  1.61, 
4/3/25 19:34:35, Microphone: -29, Temp =  77.58, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.77, GyroZ =  1.12, 
4/3/25 19:34:36, Microphone: 35, Temp =  77.58, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  0.98, 
4/3/25 19:34:38, Microphone: 16, Temp =  77.63, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.42, GyroZ =  1.12, 
4/3/25 19:34:39, Microphone: 107, Temp =  77.57, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.70, GyroZ =  1.33, 
4/3/25 19:34:40, Microphone: 60, Temp =  77.58, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.77, GyroZ =  1.26, 
4/3/25 19:34:42, Microphone: -115, Temp =  77.54, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.12, 
4/3/25 19:34:43, Microphone: 37, Temp =  77.61, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.70, GyroZ =  1.26, 
4/3/25 19:34:44, Microphone: -9, Temp =  77.78, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  1.40, GyroZ =  1.12, 
4/3/25 19:34:46, Microphone: 39, Temp =  77.64, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  1.05, GyroZ =  0.98, 
4/3/25 19:34:47, Microphone: 14, Temp =  77.62, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.84, GyroZ =  0.98, 
4/3/25 19:34:48, Microphone: -5, Temp =  77.60, AccX =  0.11, AccY =  -0.28, AccZ =  1.24, GyroX =  -46.62, GyroY =  16.24, GyroZ =  -14.42, 
4/3/25 19:34:49, Microphone: 23, Temp =  77.56, AccX =  0.04, AccY =  -0.35, AccZ =  0.93, GyroX =  1.26, GyroY =  -8.40, GyroZ =  -14.77, 
4/3/25 19:33:1, Microphone: 83, Temp =  77.70, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  0.98, 
4/3/25 19:33:2, Microphone: -208, Temp =  77.87, AccX =  0.05, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.12, 
4/3/25 19:33:3, Microphone: -11, Temp =  77.91, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.84, GyroZ =  1.33, 
4/3/25 19:33:5, Microphone: 85, Temp =  77.82, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  1.12, 
4/3/25 19:33:6, Microphone: 159, Temp =  77.85, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.40, 
4/3/25 19:33:7, Microphone: -30, Temp =  77.89, AccX =  0.05, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.42, GyroZ =  0.77, 
4/3/25 19:33:8, Microphone: 10, Temp =  77.87, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.84, GyroZ =  1.26, 
4/3/25 19:33:10, Microphone: 72, Temp =  77.82, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.70, GyroZ =  1.19, 
4/3/25 19:33:11, Microphone: -92, Temp =  77.84, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  1.05, GyroZ =  1.47, 
4/3/25 19:33:12, Microphone: 95, Temp =  77.96, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.56, GyroZ =  1.26, 
4/3/25 19:33:13, Microphone: -34, Temp =  77.89, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  1.19, 
4/3/25 19:33:15, Microphone: 41, Temp =  77.89, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.47, 
4/3/25 19:33:16, Microphone: 216, Temp =  77.81, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.56, GyroZ =  1.33, 
4/3/25 19:33:17, Microphone: 130, Temp =  77.94, AccX =  0.05, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.84, GyroZ =  1.33, 
4/3/25 19:33:19, Microphone: 5, Temp =  77.90, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.56, GyroZ =  1.26, 
4/3/25 19:33:20, Microphone: -247, Temp =  77.87, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.33, 
4/3/25 19:33:21, Microphone: -141, Temp =  77.88, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.19, 
4/3/25 19:33:22, Microphone: -90, Temp =  77.91, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.91, GyroZ =  1.33, 
4/3/25 19:33:24, Microphone: 24, Temp =  77.98, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  1.12, 
4/3/25 19:33:25, Microphone: 5, Temp =  77.84, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.26, 
4/3/25 19:33:26, Microphone: -53, Temp =  77.90, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.47, 
4/3/25 19:33:28, Microphone: 25, Temp =  77.95, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.70, GyroZ =  0.84, 
4/3/25 19:33:29, Microphone: 49, Temp =  78.01, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.12, 
4/3/25 19:33:30, Microphone: -6, Temp =  78.00, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.19, 
4/3/25 19:33:32, Microphone: -119, Temp =  78.01, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  0.00, GyroY =  0.49, GyroZ =  1.12, 
4/3/25 19:33:33, Microphone: 82, Temp =  77.98, AccX =  0.05, AccY =  0.00, AccZ =  1.03, GyroX =  0.00, GyroY =  0.77, GyroZ =  1.26, 
4/3/25 19:33:34, Microphone: 43, Temp =  77.98, AccX =  -0.03, AccY =  -0.07, AccZ =  1.06, GyroX =  -2.73, GyroY =  1.82, GyroZ =  -12.46, 
4/3/25 19:33:35, Microphone: 54, Temp =  78.08, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.91, GyroZ =  1.26, 
4/3/25 19:33:37, Microphone: 129, Temp =  77.97, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.91, GyroZ =  1.05, 
4/3/25 19:33:38, Microphone: -11, Temp =  78.04, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.91, GyroZ =  1.26, 
4/3/25 19:33:39, Microphone: 104, Temp =  77.96, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.70, GyroZ =  1.19, 
4/3/25 19:33:41, Microphone: 20, Temp =  78.09, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  0.00, GyroY =  0.98, GyroZ =  1.12, 
4/3/25 19:33:42, Microphone: 138, Temp =  77.99, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.91, GyroZ =  1.33, 
4/3/25 19:33:43, Microphone: 65, Temp =  78.01, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.40, 
4/3/25 19:33:44, Microphone: 40, Temp =  78.07, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.77, GyroZ =  0.98, 
4/3/25 19:33:46, Microphone: -35, Temp =  78.08, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.40, 
4/3/25 19:33:47, Microphone: 108, Temp =  78.06, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.63, GyroZ =  0.98, 
4/3/25 19:33:48, Microphone: 91, Temp =  78.01, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.26, 
4/3/25 19:33:50, Microphone: -62, Temp =  78.04, AccX =  0.05, AccY =  0.01, AccZ =  1.02, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.05, 
4/3/25 19:33:51, Microphone: -84, Temp =  78.01, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  1.12, 
4/3/25 19:33:52, Microphone: -2, Temp =  78.04, AccX =  0.04, AccY =  0.01, AccZ =  1.02, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.26, 
4/3/25 19:33:53, Microphone: -51, Temp =  78.07, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.91, GyroZ =  1.05, 
4/3/25 19:33:55, Microphone: -44, Temp =  78.16, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  1.05, 
